Country,Segment,Country_Normalized,StandardizedFrequency,Detail
Australia,,Australia,Lease-end / ad hoc,"At the end of probationary lease (generally 12 months) or at end of fixed-term lease (generally two, five or ten years), and subject to other reviews on an ad hoc basis or when a tenant’s circumstances change."
Austria,,Austria,No regular reassessment,No regular reassessment
Belgium,,Belgium,Bi-annually,Bi-annually
Bulgaria,,Bulgaria,No regular reassessment,No regular reassessment
Canada,,Canada,Annually,Annually
Colombia,,Colombia,No regular reassessment,No regular reassessment
Czechia,,Czechia,Bi-annually,Bi-annually
Denmark,,Denmark,No regular reassessment,No regular reassessment
Estonia,,Estonia,Annually or more regularly,Annually or more regularly
Finland,,Finland,No regular reassessment,No regular reassessment
France,,France,Yes (unspecified),Yes
Germany,,Germany,No regular reassessment,No regular reassessment
Hungary,,Hungary,Re-assessed (timing unspecified),"Re-assessment, but no information on timing provided"
Iceland,,Iceland,Re-assessed (timing unspecified),Eligibility is re-assessed
Ireland,,Ireland,Continuous review,Continuous review
Israel,,Israel,Re-assessed (timing unspecified),"Re-assessment, but no information on timing"
Italy,,Italy,Depends on local management,Depends on local management
Japan,,Japan,Annually,Annually
Latvia,,Latvia,Every 6 months,Every 6 months
Lithuania,,Lithuania,Annually (earlier if circumstances change),"Annually, but potentially earlier if tenant situation changes"
Luxembourg,,Luxembourg,No regular reassessment,No regular reassessment
Malta,,Malta,No regular reassessment,No regular reassessment
Netherlands,,Netherlands,No regular reassessment,No regular reassessment
New Zealand,,New Zealand,NA,NA
Norway,,Norway,At lease expiration (usually every 3 years),"At lease expiration, usually every three years"
Poland,Municipal housing,Poland,No more often than every 2.5 years,Municipal housing: No more often than every 2.5 years
Poland,Social housing,Poland,Bi-annually,Social housing: Bi-annually
Portugal,,Portugal,No regular reassessment,No regular reassessment
Slovak Republic,,Slovak Republic,Varies (typically every 3 years),"Varies, typically every 3 years"
Slovenia,,Slovenia,Every 5 years,Every 5 years
South Africa,,South Africa,Re-assessed (timing unspecified),Eligibility is re-assessed
United Kingdom (England),,United Kingdom (England),No regular reassessment,No regular reassessment
United States,,United States,Annually,Annually
